overall_episode,season,episode_in_season,season_episode_code,title,synopsis,theme_tags,episode_type,is_retired,primary_country,all_countries,region,primary_destination,iso2,flag,lat,long,geo_match,original_air_date,air_year,air_month,air_weekday,days_since_premiere,gap_since_prev_episode_d,imdb_tconst,imdb_url,imdb_rating,imdb_votes,imdb_rating_shrunk,imdb_low_votes,image_url,image_source,best_summary,summary_source,best_runtime,watch_url,tvmaze_url,tvmaze_id
141,12,5,S12E05,Art of the Early Middle Ages,"Diverse art produced by early Europeans, from Christians to Muslims and Byzantines to Vikings.",Art & Architecture,Art History,No,Multiple,Italy; Spain; Norway; Turkey,Multi-Region,Various,ZZ,🌍,45.5375,13.0975,centroid,2023-10-29,2023,Oct,Sun,8456,7,tt30701489,https://www.imdb.com/title/tt30701489/,8.3,7,7.870860927152318,TRUE,https://i.ytimg.com/vi/HAFXNxgUmAg/maxresdefault.jpg,ricksteves.com,"After Rome's fall, Europe's Christians kept culture alive with art rooted in their deep faith. We visit sturdy Romanesque churches filled with art that reinforced the ruling order. Meanwhile, Europe was invigorated from the fringes: Byzantines to the East, with their dazzling mosaics; Spanish Muslims with their lush palaces; and fierce Vikings of the North — all part of Europe's rich cultural stew.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/early-middle-ages,https://www.tvmaze.com/episodes/2667609/rick-steves-europe-12x05-art-of-the-early-middle-ages,2667609
142,12,6,S12E06,Art of the High Middle Ages,"Gothic cathedrals with colorful altarpieces, lacy stonework and radiant stained glass; art celebrating worldly pleasure; artists like Giotto mastered realism in Italy.",Art & Architecture; Religion & Spirituality; Industry & Crafts,Art History,No,Multiple,France; Italy; Germany,Multi-Region,Various,ZZ,🌍,47.75666666666667,9.406666666666666,centroid,2023-11-05,2023,Nov,Sun,8463,7,tt33044483,https://www.imdb.com/title/tt33044483/,8.7,7,7.961183507797478,TRUE,https://i.ytimg.com/vi/XPRz4CYn0nI/maxresdefault.jpg,ricksteves.com,"As Europe passed AD 1000, its growing prosperity was reflected in soaring Gothic cathedrals graced with colorful altarpieces, lacy stonework, and radiant stained glass. We visit luxurious castles to see exquisite tapestries showing a new secular love of worldly pleasures and, end in Italy, where pioneering artists like Giotto were mastering realism and pointing the way to the future of art.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/high-middle-ages,https://www.tvmaze.com/episodes/2686598/rick-steves-europe-12x06-art-of-the-high-middle-ages,2686598
143,12,7,S12E07,Art of the Florentine Renaissance,"The rebirth of Florence is powered by Leonardo da Vinci, Rafael and Michelangelo, whose David sculpture and painting of the Sistine takes the Florentine Renaissance to new heights.",Art & Architecture; Religion & Spirituality,Art History,No,Italy,Italy,Mediterranean,Florence,IT,🇮🇹,43.7697955,11.2556404,full,2023-11-12,2023,Nov,Sun,8470,7,tt34430929,https://www.imdb.com/title/tt34430929/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/qi5uyN6D97g/maxresdefault.jpg,ricksteves.com,"After its medieval struggles, Europe rediscovered the art of the ancients, led by booming Florence. We revel in the bold spirit of the Cathedral's lofty dome and Botticelli's sweet Venus. Leonardo da Vinci gives us the iconic Last Supper and enigmatic Mona Lisa. And Michelangelo — sculptor of David, painter of the Sistine, and architect of St. Peter's — takes the Florentine Renaissance to new heights.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/florence-renaissance-art,https://www.tvmaze.com/episodes/2699315/rick-steves-europe-12x07-art-of-the-florentine-renaissance,2699315
144,12,8,S12E08,Art of the Renaissance Beyond Florence,"Lacy architecture and ethereal paintings by El Greco in Spain and Portugal; in Germany and Belgium, technologies enable Durer's mass-produced engravings, Jan van Eyck's oil paintings, Brueghel's peasants at play and the futuristic visions of Bosch.",Art & Architecture; Modern Life & Urban,Art History,No,Multiple,Spain; Portugal; Germany; Belgium,Multi-Region,Various,ZZ,🌍,45.6225,1.2150000000000003,centroid,2023-11-19,2023,Nov,Sun,8477,7,tt34430968,https://www.imdb.com/title/tt34430968/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/di61mAXE35Y/maxresdefault.jpg,ricksteves.com,"From Italy, the Renaissance spread across Europe, revolutionizing art. We travel to Spain and Portugal where overseas plunder is transformed into lacy architecture and ethereal paintings by El Greco. In bustling Germany and Belgium, new technologies enable Durer's mass-produced engravings, Van Eyck's meticulous oil paintings, Brueghel's peasants at play, and the futuristic visions of Bosch.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/art-of-the-renaissance,https://www.tvmaze.com/episodes/2699316/rick-steves-europe-12x08-art-of-the-renaissance-beyond-florence,2699316
145,12,9,S12E09,Baroque Art,"Rome's St. Peter's Basilica, Bernini statues and fountains; dramatic canvases of Rubens in Belgium; the chandeliered Hall of Mirrors in Versailles.",Art & Architecture; Religion & Spirituality,Art History,No,Multiple,Italy; Spain; France,Multi-Region,Various,ZZ,🌍,43.723333333333336,3.71,centroid,2023-11-26,2023,Nov,Sun,8484,7,tt33044466,https://www.imdb.com/title/tt33044466/,8.8,6,7.956556291390728,TRUE,https://i.ytimg.com/vi/1CLCbzaWcvw/maxresdefault.jpg,ricksteves.com,"Forged in Europe's religious struggles, Baroque art inspired the faithful and dazzled the masses. We start in Rome, with its awe-inspiring St. Peter's, fleshy Bernini statues, and bubbly fountains. In Belgium, we see the dramatic canvases of Rubens. And finally: the ultimate Baroque palace, Versailles, with its chandeliered Hall of Mirrors and vast gardens where nobles played as Revolution brewed.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/baroque,https://www.tvmaze.com/episodes/2686599/rick-steves-europe-12x09-baroque-art,2686599
146,12,10,S12E10,Art of the Neoclassical and Romantic Ages,Europe's Neoclassical buildings of columns and domes; dramatic Romantic paintings depicting extreme emotions and nature; touring castles.,Art & Architecture,Art History,No,Multiple,France; Germany; United Kingdom,Multi-Region,Various,ZZ,🌍,50.69,7.86,centroid,2023-12-03,2023,Dec,Sun,8491,7,tt33044442,https://www.imdb.com/title/tt33044442/,8.8,7,7.98376415295877,TRUE,https://i.ytimg.com/vi/GW8pw289bsI/maxresdefault.jpg,ricksteves.com,"Around 1800, Europe was in transition, reflected in two art styles. First, we visit Europe's great cities with their stately Neoclassical buildings of columns and domes. Meanwhile, the Revolution has unleashed a call for freedom, both political and personal. We see dramatic Romantic canvases depicting extreme emotions and awesome Nature, and tour dreamy castles — virtual theme parks of Romanticism.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/neoclassical-romantic-art,https://www.tvmaze.com/episodes/2708265/rick-steves-europe-12x10-art-of-the-neoclassical-and-romantic-ages,2708265
147,12,11,S12E11,Art of the Impressionists and Beyond,"Impressionist works, including Monet's lilies, Renoir's ladies, Degas' snapshots and Rodin's statues; tracing the travels of Van Gogh through his art; wild and crazy buildings in Spain.",Art & Architecture,Art History,No,France,France,Western Europe,France,FR,🇫🇷,46.603354,1.8883335,full,2023-12-10,2023,Dec,Sun,8498,7,tt33089061,https://www.imdb.com/title/tt33089061/,9.2,7,8.074086733603929,TRUE,https://i.ytimg.com/vi/HWJJ3yYc7Ho/maxresdefault.jpg,ricksteves.com,"The late 1800s saw old notions of beauty challenged by revolutionary artists. We enjoy pioneering Impressionist works — Monet's lilies, Renoir's ladies, Degas' snapshots and Rodin's statues — that capture the joie de vivre of the age. We trace the tempestuous travels of Van Gogh through his incomparable art. And we finish in Spain, with wild and crazy buildings that herald the dawn of a new century.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/impressionist-art,https://www.tvmaze.com/episodes/2708266/rick-steves-europe-12x11-art-of-the-impressionists-and-beyond,2708266
148,12,12,S12E12,Art of the 20th Century,"The wild, colorful, surreal and fun art of the 20th century, from Spain to Hungary to Glasgow to Oslo; the work of Pablo Picasso.",Art & Architecture,Art History,No,Multiple,Spain; France; Hungary; Norway; United Kingdom,Multi-Region,Various,ZZ,🌍,49.175,7.115,centroid,2023-12-17,2023,Dec,Sun,8505,7,tt33090970,https://www.imdb.com/title/tt33090970/,9.2,6,8.036556291390728,TRUE,https://i.ytimg.com/vi/J7jG40p7Lgw/hqdefault.jpg,ricksteves.com,"Europe's tumultuous 20th century spawned a kaleidoscope of cutting-edge art. From Spain to Hungary, Glasgow to Oslo, we seek out all that's wild, colorful, surreal, and just plain fun. The fascinating work of Pablo Picasso leads us through the century's major art styles. And in today's gleaming cities, we see how a persistent artistic spirit connects us with both our past and an exciting future.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/20th-century-art,https://www.tvmaze.com/episodes/2708267/rick-steves-europe-12x12-art-of-the-20th-century,2708267
149,13,1,S13E01,Iceland's Reykjavik and the Golden Circle,Touring Reykjavik's endearing sights; a side trip to the Blue Lagoon; the classic Golden Circle; Snaefellsnes Peninsula.,Nature & Outdoors,Standard,No,Iceland,Iceland,Scandinavia,Reykjavik,IS,🇮🇸,64.145981,-21.9422367,full,2025-10-01,2025,Oct,Wed,9159,654,tt38568039,https://www.imdb.com/title/tt38568039/,8.8,6,7.956556291390728,TRUE,https://i.ytimg.com/vi/7Gt2lK0SjUg/hqdefault.jpg,ricksteves.com,"Reykjavík is a world capital with a small-town feel. We tour the city's endearing sights, get to know the uniquely Icelandic way of life, and take a dip in a thermal pool. Then we side-trip into majestic Icelandic nature: its famous Blue Lagoon; the classic Golden Circle, bubbling geysers, thundering waterfalls, and otherworldly scenery; and Snæfellsnes Peninsula, an ""Iceland-in-miniature"" loop.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/reykjavik,https://www.tvmaze.com/episodes/3391528/rick-steves-europe-13x01-icelands-reykjavik-and-the-golden-circle,3391528
150,13,2,S13E02,Iceland's Ring Road,The Ring Road -- the 800-mile loop around Iceland on Highway 1; the geothermal hot zone of Lake Myvatn; the rugged Eastfjords; glacier lagoons of the Southeast; waterfalls and beaches of the South Coast; puffins at the Westman Islands.,Nature & Outdoors,Standard,No,Iceland,Iceland,Scandinavia,Iceland Ring Road,IS,🇮🇸,64.9841821,-18.1059013,country,2025-10-04,2025,Oct,Sat,9162,3,tt38568058,https://www.imdb.com/title/tt38568058/,8.6,8,7.959271523178808,TRUE,https://i.ytimg.com/vi/zWEJdJHLZsM/hqdefault.jpg,ricksteves.com,"Europe's ultimate road trip is the 800-mile loop around Iceland on Highway 1 — the Ring Road. We visit the geothermal hot zone of Lake Mývatn, the rugged Eastfjords, the glacier lagoons of the Southeast, the waterfalls and beaches of the South Coast, and side trip to the Westman Islands to see puffins. We also break for insightful folk museums, sod-roofed settlements, and a little whale watching.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/iceland-ring-road,https://www.tvmaze.com/episodes/3391529/rick-steves-europe-13x02-icelands-ring-road,3391529
151,13,3,S13E03,Krakow: Poland's Historic Capital,"Krakow, Poland; Wawel Castle; Polish cuisine, including pierogi; Nowa Huta offers a nostalgic spin through the Cold War days; Auschwitz-Birkenau concentration camp.",Food & Cuisine; History & Heritage; Modern Life & Urban,Standard,No,Poland,Poland,Eastern Europe,Krakow,PL,🇵🇱,50.0469432,19.9971534,full,2025-10-11,2025,Oct,Sat,9169,7,tt38568076,https://www.imdb.com/title/tt38568076/,7.7,9,7.73323299217339,TRUE,https://i.ytimg.com/vi/qFkIxEWTtaA/hqdefault.jpg,ricksteves.com,"In Kraków, we linger on one of Europe's most crowd-pleasing squares, marvel at past glories in art galleries and at Wawel Castle, and savor Polish cuisine — including a lesson in making pierogi by hand. Nearby, the communist-planned town of Nowa Huta offers a nostalgic spin through the Cold War days, while the sobering concentration camp memorial of Auschwitz-Birkenau honors victims of the Nazis.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/krakow,https://www.tvmaze.com/episodes/3424373/rick-steves-europe-13x03-krakow-polands-historic-capital,3424373
152,13,4,S13E04,Poland's Warsaw and Gdansk,"Warsaw, Poland; gingerbread bakeries in red-brick Torun; the Teutonic knight fortress of Malbork; Hanseatic townhouses in Gdansk.",Food & Cuisine; History & Heritage,Standard,No,Poland,Poland,Eastern Europe,Warsaw and Gdansk,PL,🇵🇱,52.2319581,21.0067249,simple,2025-10-15,2025,Oct,Wed,9173,4,tt38568130,https://www.imdb.com/title/tt38568130/,7.2,9,7.596869355809753,TRUE,https://i.ytimg.com/vi/AnPpFD8FlY8/hqdefault.jpg,ricksteves.com,"Warsaw, the heartbeat of contemporary Poland, is gilded with a grand palace, home to a hard-fought 20th-century history, and busy with Chopin concerts. After a stop at the gingerbread bakeries in red-brick Toruń, we ogle the massive Teutonic Knight fortress of Malbork. Finishing in maritime Gdańsk, we experience handsome Hanseatic townhouses, amber jewelry, and stirring Solidarity history.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/warsaw,https://www.tvmaze.com/episodes/3424374/rick-steves-europe-13x04-polands-warsaw-and-gdansk,3424374
153,13,5,S13E05,Italy's Highlights,Travels through Italy include Venice and Florence; the Italian Riviera and the hill towns of Tuscany and Umbria; the historical epicenter of Rome; Naples; the Amalfi Coast; Sicily.,Nature & Outdoors,Special,No,Italy,Italy,Mediterranean,Italy Highlights,IT,🇮🇹,42.6384261,12.674297,country,2025-10-16,2025,Oct,Thu,9174,1,tt38568141,https://www.imdb.com/title/tt38568141/,8.6,5,7.892989266955926,TRUE,https://i.ytimg.com/vi/3gflrV-l9P4/hqdefault.jpg,ricksteves.com,"From north to south, Italy is a nonstop highlight reel. On this whirlwind look back through our travels, we sample la dolce vita in seductive Venice and Renaissance titan Florence, then soak up the Italian Riviera and the hill towns of Tuscany and Umbria. We touch down in the historical epicenter of Rome, embrace intense Naples and the Amalfi Coast, and finish amid the beautiful chaos of Sicily.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/italy-highlights,https://www.tvmaze.com/episodes/3424375/rick-steves-europe-13x05-italys-highlights,3424375
154,13,6,S13E06,Burgundy: Gourmet Barge Cruise,A tranquil cruise along the rivers and canals of France's Burgundy region; tasting the vintages of the Cote-d'Or.,Food & Cuisine,Standard,No,France,France,Western Europe,Burgundy,FR,🇫🇷,47.2780873,4.2224863,full,2025-10-17,2025,Oct,Fri,9175,1,tt38568175,https://www.imdb.com/title/tt38568175/,8.2,5,7.824023749714547,TRUE,https://i.ytimg.com/vi/EoVIi6yhNnU/hqdefault.jpg,ricksteves.com,"We set a course on a tranquil cruise of the rivers and canals of France's Burgundy region. Aboard a century-old barge-turned-hotel, we're treated to a relaxing pace and natural beauty — plus plenty of gourmet meals and fine wine. Stops for a hike or bike ride help us work up our next appetite, and a château lord welcomes us to taste the vintages of the famed Côte d'Or.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/burgundy-barge-cruise,https://www.tvmaze.com/episodes/3424376/rick-steves-europe-13x06-burgundy-gourmet-barge-cruise,3424376
155,13,7,S13E07,Paris of the Parisians,The Eiffel Tower; cruising the Seine; visiting the market for fresh food and flowers; window-shopping in Paris; a nighttime ride through the city.,Food & Cuisine; Modern Life & Urban,Standard,No,France,France,Western Europe,Paris,FR,🇫🇷,48.8534951,2.3483915,full,2025-10-20,2025,Oct,Mon,9178,3,tt38568179,https://www.imdb.com/title/tt38568179/,8.3,6,7.856556291390729,TRUE,https://i.ytimg.com/vi/5a7VhfIls4w/hqdefault.jpg,ricksteves.com,"Paris is a world-class city — but also one that to millions is simply home. On this adventure, we're going local. We start at the city's proud symbol, the Eiffel Tower, then cruise the Seine before exploring a few distinctive neighborhoods. We visit the market for fresh food and flowers, window-shop along trendy streets, and cap our tour with a nighttime ride through the sparkling City of Light.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/paris,https://www.tvmaze.com/episodes/3424377/rick-steves-europe-13x07-paris-of-the-parisians,3424377
156,13,8,S13E08,Istanbul: Capital of Emperors and Sultans,A look back at the Roman-tinged Hippodrome; ancient ritual of the Turkish bath; the Blue Mosque; the grand Hagia Sophia; Spice Market; exploring Topkapi Palace.,Food & Cuisine; Art & Architecture; History & Heritage; Religion & Spirituality; Modern Life & Urban,Standard,No,Turkey,Turkey,Beyond Europe,Istanbul,TR,🇹🇷,41.006381,28.9758715,full,2025-11-19,2025,Nov,Wed,9208,30,tt38568187,https://www.imdb.com/title/tt38568187/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/RMV77OShj7g/hqdefault.jpg,ricksteves.com,"Istanbul's rich heritage spans the centuries from Christian Byzantium to Muslim Ottoman rule to today's thriving city. We start our look back at the Roman-tinged Hippodrome, then indulge in the ancient ritual of the Turkish bath. We take in the Blue Mosque and the grand Hagia Sophia, taste Turkish delight at the venerable Spice Market, and explore Topkapı Palace and its harem room deep within.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/istanbul-capital,https://www.tvmaze.com/episodes/3424378/rick-steves-europe-13x08-istanbul-capital-of-emperors-and-sultans,3424378
157,13,9,S13E09,Istanbul: Turkish Delights,The Grand Bazaar in Istanbul; strolling along the Golden Horn; zipping by tram from the Old Town to Taksim Square; hopping a ferry to Asia.,Modern Life & Urban,Standard,No,Turkey,Turkey,Beyond Europe,Istanbul,TR,🇹🇷,41.006381,28.9758715,full,2025-11-26,2025,Nov,Wed,9215,7,tt41894193,https://www.imdb.com/title/tt41894193/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/Ctd_zcFXrr0/hqdefault.jpg,ricksteves.com,"In Istanbul, we sample the wonders of this city that bridges two continents. After cruising the busy port of the Bosphorus, we dive into the Grand Bazaar, where endless shops enchant visitors. Then we view the mosaics of Chora Church, watch dervishes whirl in their captivating spiritual trance, and zip by tram from the Old Town to Taksim Square, tasting local treats before hopping a ferry to Asia.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/istanbul-turkey,https://www.tvmaze.com/episodes/3424379/rick-steves-europe-13x09-istanbul-turkish-delights,3424379
158,13,10,S13E10,London: A Royal Tour,A royal tour of London begins at Buckingham Palace; Houses of Parliament at Westminster; Churchill's underground war rooms; cruising the River Thames to the Tower of London.,Art & Architecture; History & Heritage; Nature & Outdoors,Standard,No,United Kingdom,United Kingdom,British Isles,London,GB,🇬🇧,51.5074456,-0.1277653,full,2025-12-03,2025,Dec,Wed,9222,7,tt38568191,https://www.imdb.com/title/tt38568191/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/sIyXmROJluw/hqdefault.jpg,ricksteves.com,"Our royal tour of London starts with red-coat pageantry at Buckingham Palace. Riding red buses, black cabs, and the Tube, we pop into the Houses of Parliament at Westminster and visit Churchill's underground war rooms — a World War II time warp. After looking into the eyes of those who put the great in Britain at the National Portrait Gallery, we cruise the River Thames to the mighty Tower of London.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/royal-london,https://www.tvmaze.com/episodes/3424380/rick-steves-europe-13x10-london-a-royal-tour,3424380
159,13,11,S13E11,London: Yesterday and Today,Jogging in Hyde Park; British Museum; Victoria and Albert Museum; East End food tour; celebrating London's regeneration.,Food & Cuisine; Art & Architecture; Nature & Outdoors,Standard,No,United Kingdom,United Kingdom,British Isles,London,GB,🇬🇧,51.5074456,-0.1277653,full,2025-12-10,2025,Dec,Wed,9229,7,tt38568195,https://www.imdb.com/title/tt38568195/,NA,NA,7.745695364238411,TRUE,https://i.ytimg.com/vi/Z4EQdSgKXlQ/hqdefault.jpg,ricksteves.com,"Getting up to date in London, we jog with locals in Hyde Park, marvel at cultural treasures in the Victoria and Albert Museum, and nibble through a trendy East End food tour before luxuriating over afternoon tea. Then we celebrate London's regeneration as it turns industrial wastelands into inviting commercial zones and skyscrapers come with ""garden in the sky"" viewing platforms.
",ricksteves.com,26,https://www.ricksteves.com/watch-read-listen/video/tv-show/london,https://www.tvmaze.com/episodes/3424381/rick-steves-europe-13x11-london-yesterday-and-today,3424381
